,belief,certainty,uncertainty,user,vars
0,0.0041844132158774805,6,0.0,BzIV8Vpd,"Height
College GPA"
1,-0.4377634793748022,5,0.6384801303939409,BzIV8Vpd,"Number of pedestrians
No. Violent crimes"
2,1.0,7,0.0,BzIV8Vpd,"Number traffic violations
Car insurance premium"
3,-0.5366606066652162,6,0.6679825847579539,BzIV8Vpd,"Immigrant population
Crime rate"
4,1.0,7,0.0,BzIV8Vpd,"Homeless population
Uninsured population"
5,0.28478129658698714,4,0.3980827374979654,BzIV8Vpd,"Yearly meat consumption
Yearly carbon emissions"
6,0.42458980411255487,6,0.9995297276980204,BzIV8Vpd,"Percent body fat
Red blood cell count"
7,1.0,7,0.1412611358174809,BzIV8Vpd,"Crime severity
Prison sentence duration"
8,0.6976854732738882,7,0.49804625428334925,BzIV8Vpd,"Median income
Number of grocery stores"
9,0.690882855275841,7,0.3569578864736831,BzIV8Vpd,"Per capita gun ownership
Shooting-related deaths"
10,0.7688689808668969,7,0.4622620382662057,BzIV8Vpd,"Parental income
Children's SAT scores"
11,0.014146770585796498,3,1.712315315209855,BzIV8Vpd,"Avg. hours on social media
Depression severity"
12,0.5654428926766277,7,0.7907713311480122,BzIV8Vpd,"Daily caloric intake
Body weight"
13,0.048395867196791675,1,0.5086404138850242,BzIV8Vpd,"White blood cell count
IQ"
14,-0.4306817406066665,7,1.1386365187866672,BzIV8Vpd,"Avg. hours on social media
Avg. hours of sleep"
15,-1.0,6,0.11809045108322835,BzIV8Vpd,"Hours of TV watched in a month
Number of books read in a month"
16,0.022466702716075426,1,1.0019416237127723,BzIV8Vpd,"Number of movies attended
Amount red meat eaten"
17,0.2875990465915428,3,0.43626411766404827,BzIV8Vpd,"Number of religious population
racial diversity"
18,0.5731851382386213,6,0.8536297235227577,BzIV8Vpd,"Years of education
Income"
19,-0.5257612979566302,4,0.9099190641638581,BzIV8Vpd,"Homeless population
Avg. education attainment"
20,-0.8706871958307707,6,0.2586256083384586,BzIV8Vpd,"Immigrant population
Number of Domestic violence incidents"
21,1.0,7,0.09987650355623079,BzIV8Vpd,"Annual carbon emissions
Global temperature increase"
22,0.025844286979410214,7,0.5297216183492746,BzIV8Vpd,"College GPA
Post-college income"
23,-0.01518456324161721,4,0.7132609254192552,BzIV8Vpd,"Minimum wage
Unemployment rate"
24,0.4032519168494537,4,0.5849170823340801,BzIV8Vpd,"SAT score
College GPA"
25,0.330842763000015,3,0.6903405325894183,BzIV8Vpd,"IQ
Income"
26,-1.0,7,0.08682311437493606,BzIV8Vpd,"Amount of rainfall
Number of sunny days"
27,0.6638961664842775,6,0.521750151095425,BzIV8Vpd,"Proportion of residents in poverty
Crime rate"
28,0.5018775028026949,6,0.6161062435585964,BzIV8Vpd,"Hours playing video games
Aggression"
29,0.01980469649349681,1,0.4748249671368407,BzIV8Vpd,"Daily calcium intake
Avg. resting pulse"
30,-0.0005476298779449884,7,0.0332748967984407,xiaBpKpY,"Height
College GPA"
31,0.35982272301337415,3,0.49369756299680345,xiaBpKpY,"College GPA
Post-college income"
32,0.0077352605110889705,7,0.1318523420442057,xiaBpKpY,"Number of movies attended
Amount red meat eaten"
33,0.007785713463807298,5,0.13054806436367355,xiaBpKpY,"White blood cell count
IQ"
34,1.0,6,0.15595603452328843,xiaBpKpY,"Homeless population
Uninsured population"
35,0.7405346919301881,3,0.6041769051773951,xiaBpKpY,"Median income
Number of grocery stores"
36,0.5067623496089393,1,2.0,xiaBpKpY,"Avg. hours on social media
Depression severity"
37,0.20107688754339903,3,0.4461807097873825,xiaBpKpY,"Per capita gun ownership
Shooting-related deaths"
38,0.4420734630850136,5,0.676012893860003,xiaBpKpY,"Number of religious population
racial diversity"
39,0.9069034910559859,3,0.3787491078127485,xiaBpKpY,"Yearly meat consumption
Yearly carbon emissions"
40,0.019684429506286794,5,0.20441731268921015,xiaBpKpY,"Immigrant population
Crime rate"
41,0.43985786800548565,5,0.4388356096555335,xiaBpKpY,"SAT score
College GPA"
42,0.01568074307194567,2,0.8317458775340154,xiaBpKpY,"Number of pedestrians
No. Violent crimes"
43,0.26183891087202604,6,0.5968647143371342,xiaBpKpY,"Proportion of residents in poverty
Crime rate"
44,-0.8500034335063389,3,0.5469010498842446,xiaBpKpY,"Minimum wage
Unemployment rate"
45,1.0,7,0.09364091434235267,xiaBpKpY,"Crime severity
Prison sentence duration"
46,1.0,7,0.11222394818412651,xiaBpKpY,"Annual carbon emissions
Global temperature increase"
47,-1.0,6,0.3852990297791261,xiaBpKpY,"Avg. hours on social media
Avg. hours of sleep"
48,0.16901421632093316,5,0.44336677783852774,xiaBpKpY,"Parental income
Children's SAT scores"
49,-1.0,6,0.1715707050333204,xiaBpKpY,"Hours of TV watched in a month
Number of books read in a month"
50,1.0,7,0.17317881101736687,xiaBpKpY,"IQ
Income"
51,0.3961169353859415,1,1.2324878500800356,xiaBpKpY,"Daily calcium intake
Avg. resting pulse"
52,-1.0,6,0.32788699192505844,xiaBpKpY,"Homeless population
Avg. education attainment"
53,0.00788861990602685,1,2.0,xiaBpKpY,"Immigrant population
Number of Domestic violence incidents"
54,0.00799428304815164,1,1.9035605077634334,xiaBpKpY,"Percent body fat
Red blood cell count"
55,1.0,7,0.0,xiaBpKpY,"Number traffic violations
Car insurance premium"
56,1.0,7,0.13212054987640043,xiaBpKpY,"Years of education
Income"
57,0.36731954416908463,3,0.5838815875261176,xiaBpKpY,"Hours playing video games
Aggression"
58,0.6876877552570375,6,0.491414946912041,xiaBpKpY,"Daily caloric intake
Body weight"
59,-0.8619280974024899,7,0.11700338636089969,xiaBpKpY,"Amount of rainfall
Number of sunny days"
60,0.13687419029539316,5,0.39832007130059016,SB7GmomK,"Avg. hours on social media
Avg. hours of sleep"
61,0.4654334959171522,4,0.42719431148853104,SB7GmomK,"Median income
Number of grocery stores"
62,0.45443808730194823,5,0.3979103105667956,SB7GmomK,"Hours playing video games
Aggression"
63,0.36609334409312644,2,0.7773373639522922,SB7GmomK,"Parental income
Children's SAT scores"
64,0.8441692183273763,5,0.27683076592411915,SB7GmomK,"IQ
Income"
65,1.0,6,0.05180602803084722,SB7GmomK,"Proportion of residents in poverty
Crime rate"
66,0.5747064599210627,6,0.2779265133871198,SB7GmomK,"Years of education
Income"
67,-0.6617813984689818,4,0.4534009096457603,SB7GmomK,"Number traffic violations
Car insurance premium"
68,0.43465655145095283,5,0.15172481707103835,SB7GmomK,"Number of pedestrians
No. Violent crimes"
69,0.41971873288087624,4,0.3332429499406284,SB7GmomK,"Immigrant population
Crime rate"
70,0.254200148480187,5,0.1934738093537487,SB7GmomK,"Yearly meat consumption
Yearly carbon emissions"
71,0.37391031301332944,5,0.2036510752248788,SB7GmomK,"Homeless population
Avg. education attainment"
72,0.23197928450650784,4,0.3327715973114058,SB7GmomK,"Per capita gun ownership
Shooting-related deaths"
73,-0.15634683766457874,5,0.11124514362840188,SB7GmomK,"Immigrant population
Number of Domestic violence incidents"
74,0.8095669984408298,6,0.293986295714906,SB7GmomK,"Annual carbon emissions
Global temperature increase"
75,-0.05390339906513558,3,0.2928495664595164,SB7GmomK,"Height
College GPA"
76,-0.2559549629490858,4,0.3302259737723298,SB7GmomK,"Percent body fat
Red blood cell count"
77,-1.0,5,0.06394000239416253,SB7GmomK,"Hours of TV watched in a month
Number of books read in a month"
78,0.385366203901615,6,0.43755309863529757,SB7GmomK,"Number of religious population
racial diversity"
79,0.15773109124227291,2,0.4878200963613353,SB7GmomK,"Number of movies attended
Amount red meat eaten"
80,1.0,6,0.03982947961774874,SB7GmomK,"Crime severity
Prison sentence duration"
81,0.4162733855722851,4,0.2262750538137399,SB7GmomK,"Minimum wage
Unemployment rate"
82,0.49368374163161377,5,0.2922581887974056,SB7GmomK,"College GPA
Post-college income"
83,-1.0,5,0.06322113733341239,SB7GmomK,"Daily caloric intake
Body weight"
84,0.41515448966193347,5,0.39227989933242435,SB7GmomK,"Daily calcium intake
Avg. resting pulse"
85,-0.4319366455490767,5,0.16983343548363883,SB7GmomK,"Homeless population
Uninsured population"
86,0.5658586510279304,5,0.25652117176232303,SB7GmomK,"Avg. hours on social media
Depression severity"
87,0.5164494685552721,5,0.119550571433507,SB7GmomK,"Amount of rainfall
Number of sunny days"
88,0.5927851086908953,6,0.22597281529708146,SB7GmomK,"SAT score
College GPA"
89,0.01314728390679587,1,0.5462336218357156,SB7GmomK,"White blood cell count
IQ"
90,0.4270916532315927,6,0.43474047147114714,GkfkjEuu,"IQ
Income"
91,0.12889778345842107,5,0.16946987632538835,GkfkjEuu,"Immigrant population
Crime rate"
92,0.19778562354297513,3,0.23232602937499425,GkfkjEuu,"Number traffic violations
Car insurance premium"
93,-0.014489542642260711,6,0.18982027010534197,GkfkjEuu,"Height
College GPA"
94,0.8703298502176013,6,0.2593402995647971,GkfkjEuu,"SAT score
College GPA"
95,0.49999870477635366,5,0.3825129440498616,GkfkjEuu,"Per capita gun ownership
Shooting-related deaths"
96,0.8481030150057136,6,0.30379396998857255,GkfkjEuu,"Crime severity
Prison sentence duration"
97,0.07423090394933252,4,0.2834831952882501,GkfkjEuu,"Percent body fat
Red blood cell count"
98,0.8594753227069389,6,0.2810493545861221,GkfkjEuu,"Daily caloric intake
Body weight"
99,0.47908988982565837,5,0.5368721669306433,GkfkjEuu,"Parental income
Children's SAT scores"
100,0.012914621200597498,4,0.27000884642423223,GkfkjEuu,"Number of religious population
racial diversity"
101,0.27692688201508475,5,0.483822984767432,GkfkjEuu,"Avg. hours on social media
Depression severity"
102,0.7424464339818362,6,0.5151071320363276,GkfkjEuu,"Homeless population
Uninsured population"
103,0.7383891355437922,6,0.5232217289124157,GkfkjEuu,"Homeless population
Avg. education attainment"
104,0.028131811043726307,4,0.43107858194665694,GkfkjEuu,"Immigrant population
Number of Domestic violence incidents"
105,-0.009425471193446222,4,0.35884912795210305,GkfkjEuu,"Daily calcium intake
Avg. resting pulse"
106,0.15400187683307354,4,0.3233135052357794,GkfkjEuu,"Median income
Number of grocery stores"
107,0.35877077189594586,6,0.36007429201609487,GkfkjEuu,"Years of education
Income"
108,-0.47538944810050765,5,0.4657005615514995,GkfkjEuu,"Minimum wage
Unemployment rate"
109,-0.3553737404210687,5,0.46692734435367567,GkfkjEuu,"Hours of TV watched in a month
Number of books read in a month"
110,-0.033486020759770196,5,0.540848875718583,GkfkjEuu,"Number of movies attended
Amount red meat eaten"
111,0.23195211813539474,6,0.47306990049954595,GkfkjEuu,"Annual carbon emissions
Global temperature increase"
112,-0.3355937398806392,5,0.55780052777255,GkfkjEuu,"Avg. hours on social media
Avg. hours of sleep"
113,0.0028799786835267405,5,0.26574055882551745,GkfkjEuu,"White blood cell count
IQ"
114,0.45657599152719897,5,0.47709187317428126,GkfkjEuu,"College GPA
Post-college income"
115,0.26659778768904685,5,0.6884470539811371,GkfkjEuu,"Yearly meat consumption
Yearly carbon emissions"
116,0.031506324265790475,5,0.45945758427782213,GkfkjEuu,"Number of pedestrians
No. Violent crimes"
117,0.5628440709883546,6,0.40441812010934264,GkfkjEuu,"Amount of rainfall
Number of sunny days"
118,0.3999325679842691,5,0.29222291762457253,GkfkjEuu,"Proportion of residents in poverty
Crime rate"
119,-0.4118605334089054,6,0.5896596310194258,GkfkjEuu,"Hours playing video games
Aggression"
120,1.0,7,0.2982324745655609,Ms0M2ZcZ,"Years of education
Income"
